job_id,job_name,status,user,target,dataset,algorithm,community_cost_eur,cost_bau_eur,cost_delta_to_bau_eur,cost_ratio_to_bau,ev_min_acceptable_feasible_rate,ev_within_tolerance_feasible_rate,electrical_violation_kwh,peak_daily_ratio_to_bau,peak_all_time_ratio_to_bau,community_import_kwh,community_export_kwh,community_solar_self_consumption_rate,battery_throughput_kwh,v2g_export_kwh
9df2fb88-89ad-4edc-bc12-02f3434ddd03,15m-m16e2-456,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,MATD3,9520.05746866672,11292.805614570836,-1772.7481459041155,0.8430196882502979,1.0,0.9875195007800313,12.936070322579326,0.7889138442519578,0.8502671713478949,69551.89826385198,16017.71205298645,0.7161257138088389,14421.635562665198,165.49001597955873
e0747cd9-8e5c-42cf-ba7d-aaa2416f39e9,15s12-123,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,MATD3,9476.118271481584,11292.805614570836,-1816.687343089252,0.8391287864952511,1.0,0.9960998439937597,102.68805125949802,0.788141077674344,0.8538305171650538,69249.15994019755,16111.997033848898,0.7151868341495548,14407.527483408367,166.50361635368273
2e1b90cb-b6e7-4024-b530-3345f20d4ccd,15s12-456,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,MATD3,9542.68388408234,11292.805614570836,-1750.1217304884958,0.84502330154073,1.0,0.9960998439937597,250.3589199210901,0.7967652426127637,0.8557454954993932,69665.64181396423,16370.229427540442,0.7114712386585793,14089.404374685302,198.50268122017494
7e861cd1-9b5e-4204-9387-099a85d4bbc2,15s15-123,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,MATD3,9435.975046979149,11292.805614570836,-1856.8305675916872,0.8355740255374746,1.0,0.9929797191887676,0.7008816271554679,0.7792320480318751,0.8562610123700997,68998.99875264188,16019.486112557268,0.715861124128347,14098.986690844225,161.8507885018672
2bfe5932-b4ac-4851-b828-bbd6c97c26a7,15s15-456,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,MATD3,9471.292937115,11292.805614570836,-1821.5126774558357,0.8387014937098022,1.0,0.9937597503900156,6.1682905510742785,0.7880790678998612,0.8609518272213638,69201.81558635295,16142.357831299194,0.7145684604303617,14467.791445204646,142.91933342192794
031ed0f5-6043-41b3-b3fc-303bba75f218,15p15-123,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,MATD3,9482.926002877548,11292.805614570836,-1809.879611693288,0.8397316244106741,1.0,0.9937597503900156,3.168870481327758,0.7816256012156375,0.8571584069408593,69273.4418263705,16040.445400743618,0.7163531219379655,14362.94801137612,149.94955539011858
c9d613b2-241a-4e0d-8799-f39f862aee16,15p15-456,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,MATD3,9426.654621647569,11292.805614570836,-1866.150992923267,0.834748683664986,1.0,0.9945397815912637,0.07697990705491975,0.7821040095481401,0.8580901684093204,68944.21722293738,16037.489146769623,0.7157338061745772,14280.901825279852,152.11559168563844
376782a2-93c5-45f0-9b70-96e3ef93c17a,22m-basic-fy,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs_15min_parquet,RBCBasicPolicy,32308.12382183291,39934.98336570454,-7626.859543871629,0.8090180863723249,1.0,0.982335976928623,0.0,0.7434150799241241,0.8501439919724111,194678.48132649093,110.81127261929214,0.9972496671111837,3259.8751205205917,0.0
dba3132e-30d4-4e81-bbf0-8ce89a2cf968,22m-comm-fy,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs_15min_parquet,RBCCommunityPolicy,32061.826528558686,39934.98336570454,-7873.1568371458525,0.8028506293580384,1.0,0.982335976928623,0.0,0.6782238403705821,0.806043654546648,194988.0442874606,215.1253919173032,0.9940827399847655,6537.79538780381,87.28264819085598
0c4d4870-dbaa-4181-b992-4abe43e0eb7f,22m-p15-456-fy,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs_15min_parquet,MATD3,32136.2999693791,39934.98336570454,-7798.683396325439,0.8047154965632761,1.0,0.9938716654650325,0.0,0.6897362869894542,0.7706231154719517,195472.69644725107,196.02287585288286,0.994608175655055,5363.524663512879,227.99909096490012
